Network,Station,Median.Corr..Angle,Mean.Corr..Angle,Stddev.Corr..Angle,N.events
Z3,A034A,1,4,8.869,9
Z3,A035A,-5,-3.778,5.884,9
Z3,A036A,3,0.5,8.86,8
Z3,A037A,-6,-5.889,9.457,9
Z3,A050A,4.5,4.625,10.16,8
Z3,A051A,-3,-4.143,3.603,7
Z3,A060B,-2,0.6,6.184,5
Z3,A061A,6,7.222,7.02,9
Z3,A062A,-11,-9.857,8.425,7
Z3,A071A,2,3.8,7.547,5
Z3,A072A,8.5,8.5,10.5,2
Z3,A073A,16,16,0,1
Z3,A074A,18,18,0,1
Z3,A075A,14,14,0,1
Z3,A076A,16,16,0,1
Z3,A077A,-20,-20,34,2
Z3,A079A,-2,-2,16,2
Z3,A080A,5,5,0,1
Z3,A081A,9.5,9.25,3.345,4
Z3,A082A,13,13,0,1
Z3,A083A,-2,-7.8,14.414,5
Z3,A084A,-7,-7,16,2
Z3,A085A,-14,-15.2,15.98,5
Z3,A086A,5,5,0,1
Z3,A087A,-2,-2,0,1
Z3,A089A,9,8,4.583,4
Z3,A090A,5,5,0,1
Z3,A100A,19.5,21.5,8.823,10
Z3,A101B,7.5,7.875,8.95,8
Z3,A102A,10,7.556,9.441,9
Z3,A103A,-11,-8.667,11.146,3
Z3,A104A,8.5,7.3,11.662,10
Z3,A104B,-6,-6,13,2
Z3,A105A,10,8.333,6.289,6
Z3,A106B,-15,-12.778,15.619,9
Z3,A107C,-8,-6.333,9.238,9
Z3,A108A,-9,-5,8.406,9
Z3,A109A,-4,-5.7,8.626,10
Z3,A110A,4,3,9.121,5
Z3,A111A,-2,0.667,4.955,6
Z3,A112A,-3,-5.667,12.789,6
Z3,A113A,-4,-2.75,7.395,4
Z3,A114A,-7,-6.6,5.886,5
Z3,A115A,-6.5,-5.25,8.166,4
Z3,A116A,-1,-3,4.32,3
Z3,A117A,-9,-7.333,5.617,6
Z3,A118B,-9,-7.714,7.741,7
Z3,A119A,-40,-50.6,42.084,5
Z3,A121A,-13,-12.25,15.928,4
Z3,A122A,19,2.333,24.998,3
Z3,A123A,3,3,8,2
Z3,A124A,10,14,9.143,5
Z3,A151A,-18,-18,0,1
Z3,A152A,0,0,0,1
Z3,A153A,176,176,0,1
Z3,A154A,-2,-2,0,1
Z3,A155A,-3,-3,0,1
Z3,A156A,3,3,0,1
Z3,A158A,-11,-11,0,1
Z3,A159A,-5,-5,0,1
Z3,A160A,-29,-29,0,1
Z3,A161A,-7,-7,0,1
Z3,A162A,-17,-17,0,1
Z3,A163A,7,7,0,1
Z3,A164A,7,7,0,1
Z3,A165A,8,8,0,1
Z3,A166A,-9,-9,0,1
Z3,A167A,0,0,0,1
Z3,A171A,-3,-3,0,1
Z3,A173A,2,2,0,1
Z3,A174A,20,20,0,1
Z3,A175A,4,4,0,1
Z3,A176A,25,25,0,1
Z3,A177A,-9,-9,0,1
Z3,A179A,-28,-28,0,1
Z3,A180A,-6,-6,0,1
Z3,A182A,4,4,8,2
Z3,A184A,-2.5,-2.5,3.5,2
Z3,A186B,-2,-2,6,2
Z3,A188A,2,2,0,1
Z3,A191A,2,2,10,2
Z3,A193A,2.5,2.5,10.5,2
Z3,A195A,-13.5,-13.5,7.5,2
Z3,A198A,-3,-3,0,1
Z3,A200A,-2,-2,4,2
Z3,A202A,-2,-2,0,1
Z3,A205A,-7,-7,2,2
Z3,A208A,-10,-10,6,2
Z3,A210A,-2,-2,0,1
Z3,A211A,-23,-23,0,1
Z3,A212A,-4,-4,0,1
Z3,A216A,-7,-7,0,1
